Keys:		16 bytes each
Values: 	1000 bytes each
Entries:	600000
IndexSize:	14.31 MiB (estimated)
DataSize:	574.49 MiB (estimated)
---------------------------------------------------------------------------------------------------
Date:		Wed Apr  2 20:11:41 2025
CPU:		2 * AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx
CPUCache:	512 KB
---------------------------------------------------------------------------------------------------
Starting benchmark...
Requested Total Ops: 600000
Threads: 25, Write Ratio: 80%
Random Keys: Yes
---------------------------------------------------------------------------------------------------
[5580] 02 Apr 20:11:41.927 . sst.c:55 Metadata filenum:0 smallest: 0027al818z3y9j67 largest: zzz1bew20kefgjp3
[5580] 02 Apr 20:11:41.927 . sst.c:51 --- Level 3 [  0 files,   0 bytes]---
[5580] 02 Apr 20:11:41.927 . sst.c:51 --- Level 4 [  0 files,   0 bytes]---
[5580] 02 Apr 20:11:41.927 . sst.c:51 --- Level 5 [  0 files,   0 bytes]---
[5580] 02 Apr 20:11:41.927 . sst.c:51 --- Level 6 [  0 files,   0 bytes]---
[5580] 02 Apr 20:11:41.927 . log.c:46 Removing old log file testdb/si/0.log
[5580] 02 Apr 20:11:41.928 . sst.c:170 Merge successfully completed. Releasing the skiplist
[5580] 02 Apr 20:11:42.011 . db.c:58 Starting compaction of the memtable after 13286 insertions and 0 deletions
[5580] 02 Apr 20:11:42.011 . sst.c:595 IN sst_merge the REFCOUNT IS at 3
[5580] 02 Apr 20:11:42.011 - file.c:170 Truncating file testdb/si/1.log to 4195100 bytes
[5580] 02 Apr 20:11:42.018 - sst.c:165 The merge thread received a MERGE job
[5580] 02 Apr 20:11:42.018 . sst.c:166 Merging inside compaction thread
[5580] 02 Apr 20:11:42.018 . sst.c:608 Compacting the memtable to a SST file
[5580] 02 Apr 20:11:42.018 - sst.c:877 Range [0048kphlqsjbklk9, zzzyfr6bz6a9s6se] DOES NOT overlap in level 0. Checking others
[5580] 02 Apr 20:11:42.018 - sst.c:825 Extracted range: [0027al818z3y9j67, zzzyfr6bz6a9s6se]
[5580] 02 Apr 20:11:42.018 - sst.c:892 Range [0048kphlqsjbklk9, zzzyfr6bz6a9s6se] DOES  overlap in level 2. Checking others
[5580] 02 Apr 20:11:42.018 . sst.c:929 Using level 1 for memtable compaction [0048kphlqsjbklk9, zzzyfr6bz6a9s6se]
[5580] 02 Apr 20:11:42.018 . file.c:200 Creating directory structure: testdb/si/1
[5580] 02 Apr 20:11:42.018 - file.c:211  -> Creating testdb/si/1
[5580] 02 Apr 20:11:42.019 . sst.c:633 Compaction of 13286 [4195100 bytes allocated] elements started
[5580] 02 Apr 20:11:42.030 - log.c:159 Log file testdb/si/2.log created
[5580] 02 Apr 20:11:42.044 - sst_builder.c:167 Index block @ offset: 0x798D1 size: 23684
[5580] 02 Apr 20:11:42.044 - sst_builder.c:168 Meta block @ offset: 0x79889 size: 72
[5580] 02 Apr 20:11:42.044 - sst_builder.c:171 Bloom block @ offset: 0x7469D size: 20972
[5580] 02 Apr 20:11:42.044 - file.c:170 Truncating file testdb/si/1/1.sst to 521629 bytes
